Summary of Standards Based Test Performance
School Name,CRT,Reading ED, AS, MS, ES,Mathematics ED, AS, MS, ES,Science ED, AS, MS, ES
Theron L. Swainston Middle School,56,25,16,3,71,20,7,1,N/A,N/A,N/A,N/A
Thomas O'Roarke Elementary School,14,22,29,35,18,18,29,35,N/A,N/A,N/A,N/A
"Thompson, Tyrone ES",19,21,27,32,17,24,31,27,N/A,N/A,N/A,N/A
Thurman White Academy of the Performing Arts,13,23,41,22,30,34,22,13,N/A,N/A,N/A,N/A
Tom Williams Elementary School,49,24,16,11,59,26,10,4,N/A,N/A,N/A,N/A
Tony Alamo Elementary School,25,22,25,28,28,26,25,21,N/A,N/A,N/A,N/A
Twin Lakes Elementary School,50,21,20,10,50,27,18,5,N/A,N/A,N/A,N/A
Ulis Newton Elementary School,21,20,32,27,26,24,27,23,N/A,N/A,N/A,N/A
Ute V. Perkins Elementary School,32,23,24,21,32,24,21,23,N/A,N/A,N/A,N/A
Vail Pittman Elementary School,49,29,13,9,44,32,15,9,N/A,N/A,N/A,N/A
Variety Elementary,-,-,-,-,-,-,-,-,N/A,N/A,N/A,N/A
Variety JR/SR HS,-,-,-,-,-,-,-,-,N/A,N/A,N/A,N/A
Vegas Verdes Elementary School,53,20,18,10,49,22,18,11,N/A,N/A,N/A,N/A
