Persons Employed as Substitute Teachers
School Name,Grade Level,Subjects Elementary Long Term, Short Term, Mathematics Long Term, Short Term, Science Long Term, Short Term, Social Studies Long Term, Short Term, English Long Term, Short Term
Greenspun JHS,6-8,N/A,N/A,2,41,0,45,4,51,3,67
Griffith ES,PK-5,6,67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guinn MS,6-8,N/A,N/A,0,0,1,20,0,4,0,15
"Gunderson, Barry and June MS",06-08,N/A,N/A,1,36,0,25,0,10,0,33
Guy ES,PK-5,10,118,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hancock ES,PK-5,2,231,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harmon ES,K-5,9,239,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harney MS,6-8,N/A,N/A,3,3,2,9,1,8,5,11
Harris ES,PK-5,11,57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hayden ES,PK-5,7,200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hayes ES,PK-5,3,165,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Heard Academy ES,PK-05,5,413,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Heckethorn ES,PK-5,2,317,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Herr ES,PK-5,11,322,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Herron ES,PK-5,8,43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hewetson ES,K-5,8,122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HGHDSRTYOP HS,09-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hickey ES,PK-5,15,57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hill ES,K-5,59,103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hinman ES,PK-5,3,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hoggard ES,PK-5,6,97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hollingsworth ES,PK-5,18,59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hughes MS,6-8,N/A,N/A,0,58,0,37,1,11,0,29
Hummel ES,PK-5,9,228,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hyde Park MS,6-8,N/A,N/A,0,22,1,11,0,4,3,27
Indian Springs ES,K-05,6,106,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indian Springs HS,09-12,N/A,N/A,3,14,0,8,0,6,0,6
Indian Springs MS,06-08,N/A,N/A,0,14,0,8,0,23,0,31
Innovations Charter SEC,6-12,N/A,N/A,2,12,0,28,0,19,0,19
Innovations International ES,K-5,6,223,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iverson ES,PK-5,3,214,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jacobson ES,PK-5,12,246,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeffers ES,PK-5,21,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Jenkins, Earl N ES",0K-,3,123,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Johnson JHS,6-8,N/A,N/A,1,29,1,13,0,25,0,47
Johnston MS,6-8,N/A,N/A,16,15,5,13,0,15,6,22
Juvenile Detention 3-12,03-12,N/A,N/A,0,0,0,0,0,0,1,0
Jydstrup ES,PK-5,9,71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kahre ES,PK-5,3,126,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Katz ES,PK-5,23,107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Keller ES,K-5,4,54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Keller (Duane) MS,6-8,N/A,N/A,0,11,1,12,2,6,0,6
Kelly ES,PK-5,13,110,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kenneth Divich Elementary,PK-05,5,569,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kesterson ES,PK-5,4,292,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kim ES,PK-5,5,112,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
King (Martha) ES,3-5,9,145,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
King (Martin Luther Jr) ES,PK-5,5,120,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knudson MS,6-8,N/A,N/A,3,9,3,12,0,6,2,55
Lake ES,PK-5,6,244,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lamping ES,PK-5,4,201,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Las Vegas Academy,9-12,N/A,N/A,0,58,0,32,0,33,1,61
Las Vegas HS,9-12,N/A,N/A,0,91,3,57,2,80,3,154
Laughlin Jr/Sr HS,6-12,N/A,N/A,1,3,2,3,1,17,0,43
Lawrence JHS,6-8,N/A,N/A,1,66,0,87,0,33,1,141
Leavitt MS,6-8,N/A,N/A,0,96,0,36,0,35,1,82
Legacy HS,9-12,N/A,N/A,2,39,5,43,6,56,3,31
