Parent Teacher Conference Attendance
School Name,Accountability Year,Parent/ Teacher Conference Attendance
Wolff (Elise) ES,2022,96
Woolley ES,2024,93
Woolley ES,2023,97
Woolley ES,2022,98
Wright ES,2024,90
Wright ES,2023,95
Wright ES,2022,89
Wynn ES,2024,84
Wynn ES,2023,82
Wynn ES,2022,87
