School Name,K #, %,1 #, %,2 #, %,3 #, %,4 #, %,5 #, %,6 #, %,7 #, %,8 #, %
Lummis ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Lundy ES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lunt ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Lynch ES,-,-,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Lyon MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,0,<5
Mack (Jerome) MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,-,-
Mack (Nate) ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Mackey ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
"Mackey, Jo MS",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,0,<5,0,<5
Manch ES,-,-,-,-,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Mannion MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,-,-
Martin MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,0,<5
Martinez ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Mathis ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
May ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Mc Call ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
